date,symbol,PNL,gap ups,info
2025-10-21,AEP,-1.28%,0,Traded by Rick Larsen who sits on committee that oversees funding for enery infrastructure
2025-10-15,HOOD,-13.98%,0,Traded by John Jackson
2025-10-8,IDXX,13.09%,0,Traded by 5 politicians
2025-10-2,UNH,-1.94%,0,Traded by Mark Wayne Mullin who sits on committee of health
2025-9-15,BBAI,21.22%,1,Traded by Lisa McClain
2025-8-19,SSYS,-1.89%,0,Traded by Debbie Schultz who sits on military subcommittee
2025-7-11,IREN,181.45%,2,Traded by Cleo Fields who sits on committee that oversees funding for enery infrastructure
2024-12-20,PANW,2.15%,0,Traded by Pelosi
2024-11-20,VSAT,458.73%,1,Traded by Debbie Schultz who sits on military subcommittee
2024-06-26,NVDA,46.39%,0,Traded by Pelosi
2024-06-26,AVGO,108.84%,0,Traded by Pelosi
