date,symbol,PNL,gap ups,info
2025-10-21,AEP,13.70%,0,Traded by Rick Larsen who sits on committee that oversees funding for enery infrastructure
2025-10-15,HOOD,-38.72%,0,Traded by John Jackson
2025-10-8,IDXX,2.98%,0,Traded by 5 politicians
2025-10-2,UNH,-17.46%,0,Traded by Mark Wayne Mullin who sits on committee of health
2025-9-15,BBAI,-24.75%,1,Traded by Lisa McClain
2025-8-19,SSYS,-7.63%,0,Traded by Debbie Schultz who sits on military subcommittee
2025-7-11,IREN,170.12%,2,Traded by Cleo Fields who sits on committee that oversees funding for enery infrastructure
2024-12-20,PANW,-15.11%,0,Traded by Pelosi
2024-11-20,VSAT,590.33%,1,Traded by Debbie Schultz who sits on military subcommittee
2024-06-26,NVDA,44.81%,0,Traded by Pelosi
2024-06-26,AVGO,99.45%,0,Traded by Pelosi
